ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2026-01-22,5.33,5.36,5.3,5.3,5.33,-0.03,-0.5629,2496594.84,1328510.248
601988.SH,2026-01-23,5.32,5.32,5.26,5.27,5.3,-0.03,-0.566,2473740.52,1306482.698
601988.SH,2026-01-26,5.26,5.36,5.23,5.31,5.27,0.04,0.759,3796228.85,2018339.67
601988.SH,2026-01-27,5.31,5.42,5.3,5.33,5.31,0.02,0.3766,4305911.72,2314067.267
601988.SH,2026-01-28,5.32,5.4,5.3,5.34,5.33,0.01,0.1876,3314040.75,1774217.581
601988.SH,2026-01-29,5.34,5.4,5.3,5.37,5.34,0.03,0.5618,3230121.2,1728023.013
601988.SH,2026-01-30,5.38,5.43,5.35,5.37,5.37,0.0,0.0,3248548.61,1752185.733
601988.SH,2026-02-02,5.37,5.45,5.36,5.42,5.37,0.05,0.9311,3385638.58,1834399.009
601988.SH,2026-02-03,5.4,5.4,5.27,5.28,5.42,-0.14,-2.583,4487573.15,2382313.835
601988.SH,2026-02-04,5.29,5.36,5.28,5.35,5.28,0.07,1.3258,2724759.35,1455002.37
601988.SH,2026-02-05,5.37,5.43,5.35,5.4,5.35,0.05,0.9346,2663431.56,1436793.857
601988.SH,2026-02-06,5.42,5.43,5.33,5.35,5.4,-0.05,-0.9259,2715983.55,1454130.585
601988.SH,2026-02-09,5.33,5.38,5.31,5.38,5.35,0.03,0.5607,1720659.54,920817.687
601988.SH,2026-02-10,5.38,5.42,5.36,5.41,5.38,0.03,0.5576,2092404.37,1131231.527
601988.SH,2026-02-11,5.41,5.43,5.36,5.41,5.41,0.0,0.0,1706868.04,921920.08
601988.SH,2026-02-12,5.41,5.41,5.33,5.34,5.41,-0.07,-1.2939,2353063.83,1259628.812
601988.SH,2026-02-13,5.35,5.36,5.3,5.31,5.34,-0.03,-0.5618,2119730.73,1127854.486
601988.SH,2026-02-24,5.32,5.32,5.28,5.29,5.31,-0.02,-0.3766,1575305.58,834519.546
601988.SH,2026-02-25,5.29,5.31,5.27,5.29,5.29,0.0,0.0,1879282.06,993983.381
601988.SH,2026-02-26,5.29,5.31,5.25,5.27,5.29,-0.02,-0.3781,1563908.4,824811.745
601988.SH,2026-02-27,5.28,5.3,5.26,5.28,5.27,0.01,0.1898,1419871.66,749568.723
601988.SH,2026-03-02,5.28,5.33,5.25,5.31,5.28,0.03,0.5682,2279691.56,1208227.863
601988.SH,2026-03-03,5.3,5.44,5.28,5.42,5.31,0.11,2.0716,4955741.07,2669491.489
601988.SH,2026-03-04,5.41,5.42,5.28,5.35,5.42,-0.07,-1.2915,4238135.53,2254636.214
